EventName,MappedBrand,logo,sponsorTypeName
WTT Champions Incheon 2025,Unknown,org_logos/3March2025_9_28_37_Asset 1.jpeg,Official Ball
ITTF World Table Tennis Championships Finals Doha 2025,Unknown,org_logos/14November2024_14_47_20_RGB.png,Official Ball
WTT Contender Muscat 2022,Unknown,org_logos/WhatsApp Image 2022-01-10 at 11.28.07 PM.jpeg,Official Table
WTT Feeder Vientiane 2025 Presented by ICBC Bank,Unknown,org_logos/20November2024_10_26_1_2014???.jpg,Official Ball
ITTF World Team Table Tennis Championships Finals Busan 2024 Presented by BNK Busan Bank,Unknown,org_logos/24November2023_10_18_53_RGB.png,Official Ball
WTT Feeder DÃ¼sseldorf 2024,Unknown,org_logos/3April2024_12_57_48_Kombilogo_02_cmyk.jpg,Official Table
WTT Feeder Otocec II 2025 Presented by I Feel Slovenia ,Unknown,org_logos/20November2024_10_46_12_2014???.jpg,Official Ball
WTT Feeder Manchester 2025,Unknown,org_logos/20November2024_10_48_23_2014???.jpg,Official Ball
WTT Feeder Otocec 2025 Presented by I Feel Slovenia ,Unknown,org_logos/20November2024_10_47_25_2014???.jpg,Official Ball
WTT Feeder Doha 2025,Unknown,org_logos/20November2024_10_44_3_2014???.jpg,Official Ball
WTT Feeder Cappadocia 2025,Unknown,org_logos/20November2024_10_37_30_2014???.jpg,Official Ball
WTT Contender Muscat 2022,Unknown,org_logos/WhatsApp Image 2022-01-10 at 11.28.07 PM.jpeg,Official Table
WTT Feeder Prishtina 2025,Unknown,org_logos/20November2024_10_25_5_2014???.jpg,Official Ball
WTT Feeder Cappadocia II 2025,Unknown,org_logos/20November2024_10_27_23_2014???.jpg,Official Ball
